GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
animal-shelter-kotlin,main.kotlin,Webshop,3,17,0,0,1,3,1,2,1,2
animal-shelter-kotlin,main.kotlin,ApplicationProcess,116,10,0,0,18,1,2,1,2,1
animal-shelter-kotlin,main.kotlin,Reservation,48,0,0,0,9,0,4,0,4,0
animal-shelter-kotlin,main.kotlin,ApplicationProcess.Companion,0,2,0,0,0,1,0,1,0,1
animal-shelter-kotlin,main.kotlin,ApplicationKt,7,0,0,0,3,0,1,0,1,0
animal-shelter-kotlin,main.kotlin.animal,Animal,55,52,7,1,2,6,6,5,2,5
animal-shelter-kotlin,main.kotlin.animal,Cat,30,27,2,0,1,4,2,3,1,3
animal-shelter-kotlin,main.kotlin.animal,Dog,55,0,2,0,9,0,5,0,4,0
animal-shelter-kotlin,main.kotlin.animal,Reservor,0,21,0,0,0,1,0,3,0,3
animal-shelter-kotlin,main.kotlin.webshop,Product,31,0,0,0,2,0,4,0,4,0
